siteid,sex,age_group,num_patients,per_patients,P,N,standard_error,95_CI_below,95_CI_above,95_CI_below_x100,95_CI_above_x100
All countries,All,0 - 2,122,0.5801512197441628,0.005801512197441628,122,4.727749716118496e-05,0.0,0.019278204413798284,0.0,1.9278204413798283
All countries,Female,0 - 2,39,0.3695981804397271,0.0036959818043972707,39,9.441850058714962e-05,0.0,0.022741141605658953,0.0,2.274114160565895
All countries,Male,0 - 2,60,0.5795981452859351,0.005795981452859351,60,9.603980086429104e-05,0.0,0.025003961539278134,0.0,2.5003961539278134
All countries,Other,0 - 2,0,0.0,0.0,0,,,,,
All countries,All,3 - 5,18,0.08559608160159779,0.0008559608160159779,18,4.7512674838745725e-05,0.0,0.014366130750569932,0.0,1.4366130750569932
All countries,Female,3 - 5,7,0.06633813495072025,0.0006633813495072025,7,9.470589638461836e-05,0.0,0.019737504436851214,0.0,1.9737504436851214
All countries,Male,3 - 5,9,0.08693972179289026,0.0008693972179289026,9,9.651570737848445e-05,0.0,0.020124909194118624,0.0,2.0124909194118623
All countries,Other,3 - 5,0,0.0,0.0,0,,,,,
All countries,All,6 - 11,216,1.0271529792191736,0.010271529792191736,216,4.706493272185118e-05,0.0,0.023717891588018274,0.0,2.3717891588018274
All countries,Female,6 - 11,131,1.2414708112206216,0.012414708112206217,131,9.359223766942701e-05,0.0,0.03137635203436842,0.0,3.137635203436842
All countries,Male,6 - 11,78,0.7534775888717156,0.007534775888717156,78,9.587183385928157e-05,0.0,0.026725951906716054,0.0,2.6725951906716054
All countries,Other,6 - 11,1,50.0,0.5,1,0.25,0.0,1.48,0.0,148.0
All countries,All,12 - 17,106,0.5040658138760759,0.005040658138760759,106,4.7313678342348146e-05,0.0,0.01852250618418705,0.0,1.8522506184187049
All countries,Female,12 - 17,59,0.5591357088703564,0.0055913570887035635,59,9.423887821373166e-05,0.0,0.024618392447525797,0.0,2.46183924475258
All countries,Male,12 - 17,41,0.39605873261205565,0.0039605873261205566,41,9.621709936957877e-05,0.0,0.02318628910624223,0.0,2.318628910624223
All countries,Other,12 - 17,0,0.0,0.0,0,,,,,
All countries,All,18 - 25,1137,5.406819154500927,0.054068191545009275,1137,4.498225348114465e-05,0.040922704677906735,0.06721367841211182,4.092270467790674,6.7213678412111815
All countries,Female,18 - 25,765,7.249810462471569,0.07249810462471569,765,8.789820843207773e-05,0.05412231192038128,0.0908738973290501,5.412231192038128,9.08738973290501
All countries,Male,18 - 25,353,3.4099690880989177,0.03409969088098918,353,9.330567128274833e-05,0.015167098168954042,0.05303228359302432,1.5167098168954043,5.303228359302432
All countries,Other,18 - 25,0,0.0,0.0,0,,,,,
All countries,All,26 - 49,7112,33.81996290836464,0.33819962908364637,7112,3.147084364051327e-05,0.3272042485568344,0.34919500961045835,32.72042485568344,34.919500961045834
All countries,Female,26 - 49,4137,39.20583775587566,0.3920583775587566,4137,5.761387627381002e-05,0.37718123176080637,0.40693552335670685,37.71812317608064,40.69355233567069
All countries,Male,26 - 49,2973,28.719088098918082,0.28719088098918083,2973,6.885714055359536e-05,0.2709267612419983,0.30345500073636333,27.092676124199834,30.345500073636334
